time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
6.900000,1.284775,0.090763,0.562079,-0.075260,-0.008737,-0.032993,0.186108,0.064345,#,#,#,#,#,#,#
7.002000,1.261759,0.064533,0.514661,-0.047953,-0.007939,-0.039234,0.191165,0.070827,#,#,#,#,#,#,#
7.104000,1.240954,0.034613,0.464338,-0.019909,-0.007075,-0.045322,0.196243,0.077260,#,#,#,#,#,#,#
7.206000,1.221607,0.001259,0.410813,0.008826,-0.006148,-0.051381,0.201333,0.083700,#,#,#,#,#,#,#
7.308000,1.203251,-0.035432,0.353943,0.038118,-0.005167,-0.057481,0.206404,0.090140,#,#,#,#,#,#,#
7.410000,1.185377,-0.075372,0.293686,0.067765,-0.004152,-0.063701,0.211398,0.096536,#,#,#,#,#,#,#
7.512000,1.167304,-0.118430,0.230106,0.097493,-0.003126,-0.070161,0.216221,0.102824,#,#,#,#,#,#,#
7.614000,1.147876,-0.164200,0.163776,0.126784,-0.002135,-0.077076,0.220680,0.108875,#,#,#,#,#,#,#
7.716000,1.124198,-0.210122,0.098870,0.153684,-0.001360,-0.084930,0.224134,0.114198,#,#,#,#,#,#,#
7.818000,1.092114,-0.236336,0.065771,0.166313,-0.001282,-0.093553,0.223835,0.116122,#,#,#,#,#,#,#
7.920000,1.061373,-0.222601,0.093606,0.155206,-0.001392,-0.099386,0.218626,0.112600,#,#,#,#,#,#,#
8.022000,1.039341,-0.184910,0.156741,0.129236,-0.002081,-0.101350,0.211230,0.105903,#,#,#,#,#,#,#
8.122000,1.023887,-0.142975,0.225065,0.099655,-0.003035,-0.101138,0.203724,0.098655,#,#,#,#,#,#,#
8.222000,1.011330,-0.103565,0.289695,0.070209,-0.003963,-0.100084,0.196515,0.091516,#,#,#,#,#,#,#
8.322000,1.000318,-0.067440,0.350157,0.041299,-0.004838,-0.098587,0.189561,0.084500,#,#,#,#,#,#,#
8.422000,0.990703,-0.033922,0.407677,0.012532,-0.005701,-0.096662,0.182764,0.077516,#,#,#,#,#,#,#
8.522000,0.982851,-0.002578,0.462949,-0.016290,-0.006570,-0.094243,0.176111,0.070539,#,#,#,#,#,#,#
8.622000,0.977595,0.026853,0.516264,-0.045209,-0.007452,-0.091213,0.169660,0.063599,#,#,#,#,#,#,#
8.722000,0.976528,0.054860,0.567782,-0.074249,-0.008353,-0.087356,0.163544,0.056790,#,#,#,#,#,#,#
8.822000,0.985317,0.082488,0.615965,-0.102503,-0.009204,-0.082032,0.158427,0.050658,#,#,#,#,#,#,#
8.922000,1.019535,0.104836,0.643532,-0.119144,-0.009367,-0.074397,0.157877,0.048235,#,#,#,#,#,#,#
9.022000,1.066069,0.111611,0.637385,-0.115796,-0.009346,-0.067399,0.162509,0.050769,#,#,#,#,#,#,#
9.122000,1.107893,0.106433,0.609241,-0.099539,-0.009267,-0.062363,0.169407,0.056325,#,#,#,#,#,#,#
9.222000,1.142125,0.092180,0.570723,-0.077140,-0.008956,-0.058779,0.176842,0.062824,#,#,#,#,#,#,#
9.322000,1.171346,0.071597,0.527854,-0.052561,-0.008479,-0.055845,0.184223,0.069259,#,#,#,#,#,#,#
9.422000,1.197744,0.046605,0.481983,-0.026924,-0.007902,-0.053137,0.191529,0.075581,#,#,#,#,#,#,#
9.522000,1.222331,0.017977,0.433050,-0.000432,-0.007240,-0.050493,0.198817,0.081887,#,#,#,#,#,#,#
9.622000,1.245601,-0.014015,0.380938,0.026775,-0.006505,-0.047835,0.206109,0.088204,#,#,#,#,#,#,#
9.722000,1.267981,-0.049211,0.325652,0.054493,-0.005718,-0.045083,0.213400,0.094500,#,#,#,#,#,#,#
9.822000,1.290008,-0.087436,0.267281,0.082467,-0.004903,-0.042123,0.220674,0.100724,#,#,#,#,#,#,#
9.922000,1.312482,-0.128321,0.206216,0.110298,-0.004100,-0.038760,0.227899,0.106793,#,#,#,#,#,#,#
10.022000,1.337001,-0.170699,0.144169,0.137045,-0.003399,-0.034579,0.234959,0.112487,#,#,#,#,#,#,#
10.122000,1.367417,-0.206313,0.093799,0.157497,-0.003165,-0.028414,0.240934,0.116626,#,#,#,#,#,#,#
10.222000,1.400448,-0.208614,0.094624,0.156842,-0.003190,-0.020448,0.242336,0.115931,#,#,#,#,#,#,#
10.322000,1.424449,-0.178346,0.144814,0.136406,-0.003659,-0.013933,0.238738,0.110686,#,#,#,#,#,#,#
10.422000,1.439159,-0.135259,0.213277,0.107106,-0.004672,-0.009524,0.232611,0.103641,#,#,#,#,#,#,#
10.522000,1.448888,-0.092457,0.281093,0.076537,-0.005756,-0.006392,0.225871,0.096413,#,#,#,#,#,#,#
10.622000,1.456234,-0.053193,0.344210,0.046623,-0.006765,-0.003930,0.219108,0.089339,#,#,#,#,#,#,#
10.722000,1.461853,-0.017041,0.403602,0.017120,-0.007731,-0.001937,0.212315,0.082345,#,#,#,#,#,#,#
10.822000,1.465541,0.016605,0.460306,-0.012305,-0.008684,-0.000410,0.205417,0.075364,#,#,#,#,#,#,#
10.922000,1.466732,0.047981,0.514729,-0.041725,-0.009632,0.000581,0.198391,0.068396,#,#,#,#,#,#,#
11.022000,1.465974,0.077216,0.566969,-0.071085,-0.010566,0.001192,0.191256,0.061493,#,#,#,#,#,#,#
11.122000,1.457809,0.104591,0.616664,-0.100089,-0.011450,0.000485,0.184028,0.054825,#,#,#,#,#,#,#
11.222000,1.430546,0.128646,0.656755,-0.124260,-0.011888,-0.003590,0.177614,0.049749,#,#,#,#,#,#,#
11.322000,1.385167,0.139009,0.664760,-0.129049,-0.011879,-0.011367,0.175456,0.049641,#,#,#,#,#,#,#
11.422000,1.342296,0.134495,0.643029,-0.116197,-0.011777,-0.019628,0.177444,0.053804,#,#,#,#,#,#,#
11.522000,1.309141,0.119205,0.605164,-0.093655,-0.011293,-0.026950,0.181626,0.059964,#,#,#,#,#,#,#
11.622000,1.283025,0.096865,0.561057,-0.067772,-0.010581,-0.033450,0.186474,0.066409,#,#,#,#,#,#,#
11.722000,1.260632,0.070139,0.513946,-0.040855,-0.009788,-0.039553,0.191433,0.072757,#,#,#,#,#,#,#
11.822000,1.240307,0.039942,0.464026,-0.013268,-0.008935,-0.045519,0.196412,0.079064,#,#,#,#,#,#,#
11.922000,1.221367,0.006484,0.411011,0.014951,-0.008024,-0.051460,0.201403,0.085379,#,#,#,#,#,#,#
12.022000,1.203373,-0.030148,0.354765,0.043676,-0.007064,-0.057440,0.206374,0.091693,#,#,#,#,#,#,#
12.122000,1.185848,-0.069880,0.295244,0.072719,-0.006073,-0.063535,0.211273,0.097965,#,#,#,#,#,#,#
12.222000,1.168154,-0.112584,0.232505,0.101821,-0.005073,-0.069857,0.216010,0.104135,#,#,#,#,#,#,#
12.322000,1.149233,-0.157907,0.167041,0.130516,-0.004107,-0.076602,0.220411,0.110088,#,#,#,#,#,#,#
12.422000,1.126536,-0.203745,0.102269,0.157175,-0.003324,-0.084205,0.223930,0.115410,#,#,#,#,#,#,#
12.522000,1.095674,-0.233118,0.064261,0.171653,-0.003206,-0.092721,0.224146,0.117794,#,#,#,#,#,#,#
12.622000,1.064742,-0.223367,0.085761,0.163093,-0.003278,-0.098893,0.219455,0.114880,#,#,#,#,#,#,#
12.722000,1.042029,-0.187678,0.145659,0.138892,-0.003875,-0.101247,0.212343,0.108552,#,#,#,#,#,#,#
12.822000,1.025920,-0.145085,0.214683,0.109542,-0.004814,-0.101242,0.204815,0.101322,#,#,#,#,#,#,#
12.922000,1.013064,-0.104507,0.280577,0.080025,-0.005750,-0.100271,0.197559,0.094158,#,#,#,#,#,#,#
13.022000,1.001852,-0.067266,0.342111,0.051060,-0.006631,-0.098834,0.190574,0.087130,#,#,#,#,#,#,#
13.122000,0.992017,-0.032695,0.400525,0.022264,-0.007496,-0.096976,0.183757,0.080145,#,#,#,#,#,#,#
13.222000,0.983867,-0.000299,0.456616,-0.006599,-0.008369,-0.094634,0.177081,0.073167,#,#,#,#,#,#,#
13.322000,0.978147,0.030194,0.510712,-0.035584,-0.009257,-0.091706,0.170594,0.066218,#,#,#,#,#,#,#
13.422000,0.976419,0.059213,0.562998,-0.064722,-0.010166,-0.087973,0.164425,0.059378,#,#,#,#,#,#,#
13.522000,0.982609,0.087761,0.612613,-0.093500,-0.011060,-0.082995,0.159003,0.053041,#,#,#,#,#,#,#
13.622000,1.013135,0.112270,0.645187,-0.113004,-0.011327,-0.075547,0.157563,0.049828,#,#,#,#,#,#,#
13.722000,1.059288,0.121228,0.643283,-0.112082,-0.011311,-0.068314,0.161632,0.051782,#,#,#,#,#,#,#
13.822000,1.102249,0.116882,0.617210,-0.097096,-0.011247,-0.062993,0.168335,0.057016,#,#,#,#,#,#,#
13.922000,1.137468,0.102956,0.579236,-0.075081,-0.010953,-0.059253,0.175752,0.063468,#,#,#,#,#,#,#
14.022000,1.167256,0.082337,0.536401,-0.050577,-0.010479,-0.056259,0.183148,0.069920,#,#,#,#,#,#,#
14.122000,1.193985,0.057187,0.490511,-0.024985,-0.009904,-0.053532,0.190462,0.076249,#,#,#,#,#,#,#
14.222000,1.218802,0.028390,0.441586,0.001441,-0.009246,-0.050883,0.197751,0.082555,#,#,#,#,#,#,#
14.322000,1.242240,-0.003771,0.389478,0.028580,-0.008516,-0.048231,0.205042,0.088872,#,#,#,#,#,#,#
14.422000,1.264721,-0.039136,0.334172,0.056238,-0.007733,-0.045500,0.212333,0.095175,#,#,#,#,#,#,#
14.522000,1.286759,-0.077537,0.275740,0.084169,-0.006921,-0.042579,0.219612,0.101414,#,#,#,#,#,#,#
14.622000,1.309097,-0.118648,0.214500,0.112009,-0.006115,-0.039294,0.226848,0.107514,#,#,#,#,#,#,#
14.722000,1.333145,-0.161526,0.151798,0.138965,-0.005393,-0.035279,0.233950,0.113292,#,#,#,#,#,#,#
14.822000,1.362453,-0.200009,0.097078,0.161117,-0.005078,-0.029505,0.240256,0.117849,#,#,#,#,#,#,#
14.922000,1.395988,-0.208201,0.088890,0.163958,-0.005091,-0.021589,0.242492,0.117976,#,#,#,#,#,#,#
15.022000,1.421594,-0.181118,0.134163,0.145854,-0.005448,-0.014746,0.239496,0.113234,#,#,#,#,#,#,#
15.122000,1.437399,-0.138149,0.202226,0.117263,-0.006410,-0.010072,0.233583,0.106311,#,#,#,#,#,#,#
15.222000,1.447638,-0.094253,0.271242,0.086700,-0.007495,-0.006802,0.226870,0.099069,#,#,#,#,#,#,#
15.322000,1.455261,-0.053785,0.335586,0.056705,-0.008512,-0.004261,0.220105,0.091974,#,#,#,#,#,#,#
15.422000,1.461134,-0.016522,0.395974,0.027163,-0.009480,-0.002202,0.213322,0.084975,#,#,#,#,#,#,#
15.522000,1.465136,0.018216,0.453553,-0.002299,-0.010437,-0.000604,0.206442,0.077993,#,#,#,#,#,#,#
15.622000,1.466717,0.050714,0.508813,-0.031787,-0.011391,0.000469,0.199435,0.071022,#,#,#,#,#,#,#
15.722000,1.466329,0.081105,0.561886,-0.061261,-0.012337,0.001146,0.192315,0.064103,#,#,#,#,#,#,#
15.822000,1.459851,0.109641,0.612550,-0.090509,-0.013248,0.000736,0.185092,0.057375,#,#,#,#,#,#,#
15.922000,1.436150,0.135479,0.655803,-0.116368,-0.013815,-0.002696,0.178371,0.051844,#,#,#,#,#,#,#
16.022000,1.392088,0.148641,0.669236,-0.124369,-0.013817,-0.010125,0.175474,0.050961,#,#,#,#,#,#,#
16.124000,1.347204,0.145250,0.650177,-0.113138,-0.013739,-0.018622,0.177030,0.054717,#,#,#,#,#,#,#
16.226000,1.312282,0.129902,0.612385,-0.090709,-0.013279,-0.026213,0.181134,0.060877,#,#,#,#,#,#,#
16.328000,1.285114,0.106793,0.567318,-0.064346,-0.012556,-0.032907,0.186049,0.067448,#,#,#,#,#,#,#
16.430000,1.262057,0.079038,0.519008,-0.036855,-0.011746,-0.039151,0.191105,0.073930,#,#,#,#,#,#,#
16.532000,1.241227,0.047695,0.467789,-0.008698,-0.010876,-0.045241,0.196183,0.080363,#,#,#,#,#,#,#
16.634000,1.221863,0.012993,0.413351,0.020088,-0.009949,-0.051300,0.201273,0.086805,#,#,#,#,#,#,#
16.736000,1.203497,-0.024982,0.355540,0.049376,-0.008973,-0.057399,0.206344,0.093246,#,#,#,#,#,#,#
16.838000,1.185620,-0.066154,0.294302,0.078969,-0.007968,-0.063617,0.211341,0.099643,#,#,#,#,#,#,#
16.940000,1.167557,-0.110385,0.229699,0.108592,-0.006956,-0.070073,0.216167,0.105934,#,#,#,#,#,#,#
17.042000,1.148160,-0.157289,0.162281,0.137738,-0.005984,-0.076980,0.220634,0.111991,#,#,#,#,#,#,#
17.144000,1.124581,-0.204310,0.096168,0.164505,-0.005227,-0.084815,0.224113,0.117334,#,#,#,#,#,#,#
17.246000,1.092582,-0.231480,0.061769,0.177293,-0.005150,-0.093450,0.223891,0.119332,#,#,#,#,#,#,#
17.348000,1.061738,-0.217595,0.089509,0.166471,-0.005254,-0.099339,0.218730,0.115880,#,#,#,#,#,#,#
17.450000,1.039590,-0.178835,0.153648,0.140700,-0.005930,-0.101344,0.211343,0.109210,#,#,#,#,#,#,#
17.552000,1.023803,-0.134715,0.224606,0.110625,-0.006896,-0.101136,0.203686,0.101818,#,#,#,#,#,#,#
17.654000,1.011024,-0.093214,0.291633,0.080648,-0.007838,-0.100053,0.196337,0.094537,#,#,#,#,#,#,#
17.756000,0.999841,-0.055089,0.354277,0.051168,-0.008732,-0.098511,0.189251,0.087384,#,#,#,#,#,#,#
17.858000,0.990121,-0.019579,0.413869,0.021771,-0.009617,-0.096521,0.182326,0.080261,#,#,#,#,#,#,#
17.960000,0.982275,0.013784,0.471132,-0.007745,-0.010516,-0.094011,0.175552,0.073147,#,#,#,#,#,#,#
18.062000,0.977248,0.045295,0.526369,-0.037426,-0.011434,-0.090850,0.168999,0.066076,#,#,#,#,#,#,#
18.164000,0.976734,0.075535,0.579724,-0.067290,-0.012378,-0.086813,0.162805,0.059161,#,#,#,#,#,#,#
18.266000,0.988635,0.105341,0.628505,-0.095740,-0.013213,-0.081015,0.157966,0.053173,#,#,#,#,#,#,#
18.368000,1.027032,0.126741,0.651391,-0.109366,-0.013295,-0.073133,0.158382,0.051599,#,#,#,#,#,#,#
18.470000,1.074424,0.130325,0.639834,-0.102881,-0.013268,-0.066317,0.163692,0.054842,#,#,#,#,#,#,#
18.572000,1.115483,0.121565,0.607419,-0.084183,-0.013129,-0.061543,0.170936,0.060862,#,#,#,#,#,#,#
18.674000,1.149050,0.103669,0.565959,-0.060331,-0.012731,-0.058086,0.178527,0.067492,#,#,#,#,#,#,#
18.776000,1.178033,0.079898,0.520547,-0.034738,-0.012190,-0.055173,0.186034,0.074011,#,#,#,#,#,#,#
18.878000,1.204422,0.051972,0.472055,-0.008215,-0.011560,-0.052436,0.193477,0.080448,#,#,#,#,#,#,#
18.980000,1.229089,0.020445,0.420316,0.019098,-0.010850,-0.049742,0.200911,0.086886,#,#,#,#,#,#,#
19.082000,1.252508,-0.014482,0.365228,0.047047,-0.010076,-0.047012,0.208350,0.093329,#,#,#,#,#,#,#
19.184000,1.275156,-0.052643,0.306816,0.075401,-0.009261,-0.044153,0.215784,0.099734,#,#,#,#,#,#,#
19.286000,1.297665,-0.093812,0.245233,0.103859,-0.008433,-0.041023,0.223193,0.106043,#,#,#,#,#,#,#
19.388000,1.321069,-0.137443,0.181144,0.131892,-0.007643,-0.037366,0.230527,0.112138,#,#,#,#,#,#,#
19.490000,1.347761,-0.181140,0.118183,0.157812,-0.007055,-0.032538,0.237545,0.117624,#,#,#,#,#,#,#
19.592000,1.381337,-0.207372,0.082738,0.171354,-0.007004,-0.025198,0.242215,0.120210,#,#,#,#,#,#,#
19.694000,1.412018,-0.193292,0.108368,0.161268,-0.007125,-0.017394,0.241303,0.117295,#,#,#,#,#,#,#
19.796000,1.431883,-0.153102,0.172503,0.135210,-0.007897,-0.011752,0.236177,0.110837,#,#,#,#,#,#,#
19.898000,1.444087,-0.107007,0.244543,0.104307,-0.008990,-0.007956,0.229494,0.103462,#,#,#,#,#,#,#
20.000000,1.452676,-0.063631,0.312630,0.073476,-0.010051,-0.005132,0.222589,0.096163,#,#,#,#,#,#,#
20.102000,1.459287,-0.023845,0.376058,0.043245,-0.011049,-0.002867,0.215687,0.089002,#,#,#,#,#,#,#
20.204000,1.464056,0.013146,0.436207,0.013175,-0.012027,-0.001073,0.208708,0.081878,#,#,#,#,#,#,#
20.306000,1.466535,0.047796,0.493827,-0.016940,-0.013004,0.000202,0.201603,0.074762,#,#,#,#,#,#,#
20.408000,1.466666,0.080268,0.549146,-0.047096,-0.013979,0.000991,0.194371,0.067683,#,#,#,#,#,#,#
20.510000,1.462685,0.110777,0.602109,-0.077163,-0.014936,0.001040,0.187029,0.060737,#,#,#,#,#,#,#
20.612000,1.444374,0.139216,0.650140,-0.105505,-0.015706,-0.001423,0.179841,0.054524,#,#,#,#,#,#,#
20.714000,1.402819,0.157223,0.672947,-0.119092,-0.015762,-0.008237,0.175679,0.052289,#,#,#,#,#,#,#
20.816000,1.356398,0.156688,0.659844,-0.111375,-0.015718,-0.016785,0.176387,0.055173,#,#,#,#,#,#,#
20.918000,1.319235,0.142870,0.624534,-0.090486,-0.015343,-0.024617,0.180112,0.061032,#,#,#,#,#,#,#
21.020000,1.290703,0.120249,0.580038,-0.064473,-0.014646,-0.031471,0.184937,0.067587,#,#,#,#,#,#,#
21.122000,1.266955,0.092576,0.531884,-0.037061,-0.013844,-0.037783,0.189982,0.074090,#,#,#,#,#,#,#
