time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz
204.172000,-1.141784,0.064224,-0.496422,-1.250773,-0.193055,-0.069945,-0.157010,0.148727,#,#,#
205.172000,-0.958647,0.420967,-0.264524,-1.777374,-0.220136,-0.050117,-0.072885,0.126839,#,#,#
206.172000,0.219159,0.466618,-0.195413,-1.895297,-0.210338,-0.061641,0.025540,0.117470,#,#,#
207.172000,1.023933,0.270773,-0.390664,-1.502602,-0.177170,-0.051125,0.121080,0.144134,#,#,#
208.172000,1.212415,-0.124415,-0.450033,-1.193471,-0.163286,-0.047182,0.184602,0.110553,#,#,#
209.172000,0.835823,-0.284570,-0.570083,-0.972103,-0.153988,-0.132560,0.173917,0.115151,#,#,#
210.172000,0.459744,-0.432128,-0.761144,-0.694958,-0.146431,-0.214089,0.122393,0.142395,#,#,#
211.172000,0.189496,-0.353400,-0.836664,-0.646050,-0.142050,-0.231115,0.056145,0.182617,#,#,#
212.172000,-0.101886,0.018202,-0.775269,-0.876164,-0.149619,-0.180823,-0.010388,0.227960,#,#,#
213.172000,-0.482417,0.466165,-0.727968,-1.164466,-0.161473,-0.090577,-0.043192,0.256142,#,#,#
214.172000,-1.538745,0.576394,-0.821543,-1.114045,-0.161677,0.000217,-0.075283,0.284676,#,#,#
215.172000,-2.187453,0.591400,-0.663870,-1.313676,-0.190849,0.057813,-0.080326,0.242837,#,#,#
216.172000,-1.412173,0.345929,-0.633760,-1.213454,-0.185820,-0.018891,-0.136057,0.220827,#,#,#
217.172000,-1.095535,-0.162473,-0.772384,-0.783543,-0.161078,-0.097975,-0.193830,0.200053,#,#,#
218.172000,-1.063561,-0.158347,-0.675233,-0.887257,-0.170626,-0.103720,-0.189236,0.171271,#,#,#
219.172000,-1.215762,0.275299,-0.340502,-1.510451,-0.211514,-0.043065,-0.122527,0.136508,#,#,#
220.172000,-0.456818,0.548924,-0.208204,-1.895663,-0.220392,-0.056998,-0.023993,0.125116,#,#,#
221.172000,0.726825,0.449971,-0.276612,-1.715956,-0.194804,-0.056384,0.072823,0.134669,#,#,#
222.172000,1.203044,0.106821,-0.429273,-1.295536,-0.166878,-0.040047,0.160295,0.141438,#,#,#
223.172000,1.051300,-0.290483,-0.528562,-0.968983,-0.154258,-0.091390,0.199655,0.106612,#,#,#
224.172000,0.636430,-0.302763,-0.630089,-0.851473,-0.153528,-0.172897,0.148294,0.133113,#,#,#
225.172000,0.317349,-0.587255,-0.917777,-0.436967,-0.133507,-0.248833,0.095508,0.160505,#,#,#
226.172000,0.034722,-0.185771,-0.813746,-0.701934,-0.142458,-0.213305,0.017191,0.211821,#,#,#
227.172000,-0.239408,0.270470,-0.721556,-1.016510,-0.157375,-0.135853,-0.026522,0.246214,#,#,#
228.172000,-0.915072,0.589340,-0.749547,-1.137623,-0.160387,-0.045681,-0.059616,0.274056,#,#,#
229.172000,-1.986472,0.500101,-0.821430,-1.008293,-0.163976,0.039844,-0.086048,0.289883,#,#,#
230.172000,-1.737193,0.531669,-0.624099,-1.271519,-0.189665,0.020824,-0.106695,0.235794,#,#,#
231.172000,-1.219059,0.126034,-0.664538,-0.998288,-0.176031,-0.058095,-0.164713,0.214537,#,#,#
232.172000,-1.019198,-0.478204,-0.935932,-0.441718,-0.140803,-0.134038,-0.219795,0.193283,#,#,#
233.172000,-1.140214,0.099258,-0.476415,-1.187776,-0.193166,-0.070488,-0.157529,0.157046,#,#,#
234.172000,-0.964383,0.488489,-0.251259,-1.716081,-0.220467,-0.049995,-0.073668,0.134969,#,#,#
235.172000,0.209217,0.550179,-0.188142,-1.842031,-0.211169,-0.061695,0.024764,0.125332,#,#,#
236.172000,1.020433,0.323246,-0.366401,-1.446119,-0.177498,-0.051220,0.120322,0.151892,#,#,#
237.172000,1.215520,-0.074809,-0.421695,-1.148782,-0.163937,-0.046430,0.184301,0.118699,#,#,#
238.172000,0.839229,-0.247304,-0.544561,-0.925237,-0.154780,-0.131924,0.174360,0.123000,#,#,#
239.172000,0.462343,-0.407687,-0.742331,-0.644935,-0.147066,-0.213458,0.122825,0.150177,#,#,#
240.172000,0.191774,-0.346598,-0.828548,-0.578319,-0.141418,-0.231414,0.056782,0.190209,#,#,#
241.172000,-0.100210,0.021087,-0.764366,-0.793957,-0.148323,-0.181572,-0.010138,0.235738,#,#,#
242.172000,-0.477268,0.469459,-0.709880,-1.074336,-0.159337,-0.091312,-0.042927,0.263936,#,#,#
243.172000,-1.529019,0.574241,-0.801146,-1.016262,-0.159517,-0.000513,-0.075042,0.292451,#,#,#
244.172000,-2.190011,0.599259,-0.651911,-1.230077,-0.190246,0.057957,-0.080146,0.251232,#,#,#
245.172000,-1.416184,0.362562,-0.623495,-1.144700,-0.186184,-0.018256,-0.135617,0.228983,#,#,#
