time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
7.614000,0.316557,-0.555377,-0.468054,-0.200455,-0.031841,-0.248600,0.095245,0.102732,#,#,#,#,#,#,#
7.716000,0.292573,-0.499593,-0.434991,-0.230301,-0.033104,-0.246154,0.087561,0.107976,#,#,#,#,#,#,#
7.818000,0.268026,-0.432501,-0.393938,-0.268413,-0.034856,-0.242074,0.079512,0.113439,#,#,#,#,#,#,#
7.920000,0.242218,-0.370036,-0.358336,-0.303379,-0.036273,-0.238059,0.071455,0.118758,#,#,#,#,#,#,#
8.022000,0.215133,-0.313244,-0.328998,-0.334133,-0.037288,-0.234316,0.063440,0.124008,#,#,#,#,#,#,#
8.122000,0.187401,-0.261236,-0.304632,-0.361392,-0.038011,-0.230740,0.055595,0.129149,#,#,#,#,#,#,#
8.222000,0.158505,-0.211961,-0.283687,-0.386397,-0.038521,-0.227162,0.047749,0.134294,#,#,#,#,#,#,#
8.322000,0.128417,-0.165266,-0.265840,-0.409231,-0.038828,-0.223567,0.039899,0.139439,#,#,#,#,#,#,#
8.422000,0.097115,-0.121249,-0.250983,-0.429796,-0.038929,-0.219966,0.032049,0.144582,#,#,#,#,#,#,#
8.522000,0.064582,-0.079981,-0.238997,-0.448023,-0.038966,-0.216362,0.024197,0.149721,#,#,#,#,#,#,#
8.622000,0.030815,-0.041533,-0.229766,-0.463853,-0.038998,-0.212755,0.016344,0.154857,#,#,#,#,#,#,#
8.722000,-0.004178,-0.006010,-0.223206,-0.477210,-0.039025,-0.209149,0.008490,0.159991,#,#,#,#,#,#,#
8.822000,-0.038602,0.030195,-0.216176,-0.491398,-0.039123,-0.205083,0.001012,0.164949,#,#,#,#,#,#,#
8.922000,-0.063916,0.085183,-0.194228,-0.522785,-0.040350,-0.198209,-0.004089,0.168791,#,#,#,#,#,#,#
